316 ,Under Construction,Possession by Nov 2022,"18,670 ",59 L,"Dahisar, Mumbai",1 BHK Apartment in V K LAL VKLAL VISHNU PHASE I
396 ,Under Construction,Possession by Nov 2022,"17,929 ",70.99 L,"Dahisar, Mumbai",1 BHK Apartment in V K LAL VKLAL VISHNU PHASE I
394 ,Under Construction,Possession by Nov 2022,"17,766 ",69.99 L,"Dahisar, Mumbai",1 BHK Apartment in V K LAL VKLAL VISHNU PHASE I
1483 ,Under Construction,Possession by Feb 2022,"12,811 ",1.9 Cr,"Panvel, Mumbai",3 BHK Apartment in Hiranandani Fortune City
 , ,, ,  ,,
392 ,Under Construction,Possession by Feb 2022,"18,877 ",73.99 L,"Panvel, Mumbai",1 BHK Apartment in Hiranandani Fortune City
526 ,Under Construction,Possession by Feb 2022,"21,673 ",1.13 Cr,"Panvel, Mumbai",1 BHK Apartment in Hiranandani Fortune City
560 ,Under Construction,Possession by Dec 2023,"18,000 ",1 Cr,"Malad East, Mumbai",2 BHK Apartment in JE Shiv Krupa
672 ,Under Construction,Possession by Feb 2022,"21,667 ",1.45 Cr,"Panvel, Mumbai",2 BHK Apartment in Hiranandani Fortune City
1483 ,Under Construction,Possession by Feb 2022,"12,811 ",1.9 Cr,"Panvel, Mumbai",3 BHK Apartment in Hiranandani Fortune City
392 ,Under Construction,Possession by Feb 2022,"18,877 ",73.99 L,"Panvel, Mumbai",1 BHK Apartment in Hiranandani Fortune City
526 ,Under Construction,Possession by Feb 2022,"21,673 ",1.13 Cr,"Panvel, Mumbai",1 BHK Apartment in Hiranandani Fortune City
636 ,Under Construction,Possession by Dec 2022,"22,946 ",1.45 Cr,"Kandivali East, Mumbai",2 BHK Apartment in Crescent Horizon
436 ,Under Construction,Possession by Dec 2022,"22,706 ",98.99 L,"Kandivali East, Mumbai",1 BHK Apartment in Crescent Horizon
666 ,Under Construction,Possession by Dec 2022,"11,711 ",78 L,"Kalamboli, Mumbai",2 BHK Apartment in Proviso Builders Sai Proviso Sapphire
680 ,Under Construction,Possession by Nov 2025,"21,617 ",1.47 Cr,"Mulund West, Mumbai",2 BHK Apartment in Wadhwa Atmosphere O2
628 ,Under Construction,Possession by Nov 2025,"22,330 ",1.4 Cr,"Mulund West, Mumbai",2 BHK Apartment in Wadhwa Atmosphere O2
996 ,Under Construction,Possession by Nov 2025,"23,692 ",2.35 Cr,"Mulund West, Mumbai",3 BHK Apartment in Wadhwa Atmosphere O2
618 ,Under Construction,Possession by Nov 2025,"22,330 ",1.38 Cr,"Mulund West, Mumbai",2 BHK Apartment in Wadhwa Atmosphere O2
753 ,Under Construction,Possession by Nov 2025,"21,779 ",1.64 Cr,"Mulund West, Mumbai",2 BHK Apartment in Wadhwa Atmosphere O2
422 ,Under Construction,Possession by Nov 2020,"17,298 ",73 L,"Thane West, Mumbai",1 BHK Apartment in Runwal Eirene
440 ,Under Construction,Possession by Nov 2024,"40,050 ",1.76 Cr,"Lower Parel, Mumbai",1 BHK Apartment in The Baya Central
438 ,Under Construction,Possession by Nov 2024,"40,066 ",1.75 Cr,"Lower Parel, Mumbai",1 BHK Apartment in The Baya Central
291 ,Under Construction,Possession by Sep 2021,"5,106 ",14.86 L,"Vangani, Mumbai",1 BHK Apartment in Himalaya Gardens
638 ,Under Construction,Possession by Jun 2021,"33,000 ",2.1 Cr,"Santacruz East, Mumbai",2 BHK Apartment in MS H2O
 , ,, ,  ,,
1150 ,Under Construction,Possession by Jun 2021,"33,000 ",3.79 Cr,"Santacruz East, Mumbai",3 BHK Apartment in MS H2O
438 ,Under Construction,Possession by Jun 2021,"33,000 ",1.44 Cr,"Santacruz East, Mumbai",1 BHK Apartment in MS H2O
1015 ,Under Construction,Possession by Jun 2021,"33,000 ",3.34 Cr,"Santacruz East, Mumbai",3 BHK Apartment in MS H2O
931 ,Under Construction,Possession by Nov 2023,"50,000 ",4.65 Cr,"Dadar West, Mumbai",2 BHK Apartment in Richa Park Mist
543 ,Under Construction,Possession by Feb 2024,"24,354 ",1.32 Cr,"Thane West, Mumbai",2 BHK Apartment in Shapoorji Pallonji Northern Lights
981 ,Under Construction,Possession by Feb 2024,"23,979 ",2.35 Cr,"Thane West, Mumbai",3 BHK Apartment in Shapoorji Pallonji Northern Lights
671 ,Ready to move,2 - 3 years old,"32,936 ",2.21 Cr,"Jogeshwari East, Mumbai",2 BHK Apartment in Halkara Rameshwar Darshan
470 ,Ready to move,2 - 3 years old,"30,851 ",1.44 Cr,"Jogeshwari East, Mumbai",1 BHK Apartment in Halkara Rameshwar Darshan
645 ,Under Construction,Possession by Mar 2022,"42,480 ",2.74 Cr,"Girgaon, Mumbai",2 BHK Apartment in Shree Vastudeep Dada Maharaj Heights
777 ,Under Construction,Possession by Nov 2021,"30,631 ",2.38 Cr,"Wadala, Mumbai",2 BHK Apartment in Dignity Divine
780 ,Under Construction,Possession by Nov 2021,"30,641 ",2.38 Cr,"Wadala, Mumbai",2 BHK Apartment in Dignity Divine
404 ,Ready to move,2 - 3 years old,"4,983 ",20.13 L,"Vasind, Mumbai",1 BHK Apartment in Vardhaman Vatika
511 ,Ready to move,2 - 3 years old,"5,037 ",25.73 L,"Vasind, Mumbai",2 BHK Apartment in Vardhaman Vatika
361 ,Ready to move,2 - 3 years old,"4,982 ",17.98 L,"Vasind, Mumbai",1 BHK Apartment in Vardhaman Vatika
415 ,Ready to move,2 - 3 years old,"4,970 ",20.62 L,"Vasind, Mumbai",1 BHK Apartment in Vardhaman Vatika
392 ,Ready to move,2 - 3 years old,"4,967 ",19.47 L,"Vasind, Mumbai",1 BHK Apartment in Vardhaman Vatika
257 ,Ready to move,2 - 3 years old,"4,344 ",11.16 L,"Vasind, Mumbai",1 BHK Apartment in Vardhaman Vatika
347 ,Ready to move,2 - 3 years old,"4,945 ",17.15 L,"Vasind, Mumbai",1 BHK Apartment in Vardhaman Vatika
266 ,Ready to move,2 - 3 years old,"4,361 ",11.6 L,"Vasind, Mumbai",1 BHK Apartment in Vardhaman Vatika
498 ,Ready to move,2 - 3 years old,"5,036 ",25.07 L,"Vasind, Mumbai",2 BHK Apartment in Vardhaman Vatika
 , ,, ,  ,,
289 ,Ready to move,2 - 3 years old,"4,365 ",12.61 L,"Vasind, Mumbai",1 BHK Apartment in Vardhaman Vatika
358 ,Under Construction,Possession by Nov 2022,"17,597 ",62.99 L,"Kharghar, Mumbai",1 BHK Apartment in Gami Viona
489 ,Under Construction,Possession by Nov 2022,"18,032 ",87.99 L,"Kharghar, Mumbai",2 BHK Apartment in Gami Viona
407 ,Under Construction,Possession by Nov 2020,"20,344 ",82.8 L,"Kurla, Mumbai",1 BHK Apartment in Raghav ONE
211 ,Under Construction,Possession by Jun 2022,"9,597 ",20.25 L,"Taloja, Mumbai",1 BHK Apartment in Gami Gami Teesta
307 ,Under Construction,Possession by Jun 2022,"9,201 ",28.25 L,"Taloja, Mumbai",1 BHK Apartment in Gami Gami Teesta
405 ,Under Construction,Possession by Jun 2022,"9,135 ",37 L,"Taloja, Mumbai",2 BHK Apartment in Gami Gami Teesta
211 ,Under Construction,Possession by Jun 2022,"9,597 ",20.25 L,"Taloja, Mumbai",1 BHK Apartment in Gami Gami Teesta
307 ,Under Construction,Possession by Jun 2022,"9,201 ",28.25 L,"Taloja, Mumbai",1 BHK Apartment in Gami Gami Teesta
405 ,Under Construction,Possession by Jun 2022,"9,135 ",37 L,"Taloja, Mumbai",2 BHK Apartment in Gami Gami Teesta
742 ,Under Construction,Possession by Nov 2020,"25,000 ",1.85 Cr,"Andheri East, Mumbai",2 BHK Apartment in Pride Park Royale
888 ,Under Construction,Possession by Nov 2020,"28,184 ",2.5 Cr,"Andheri East, Mumbai",3 BHK Apartment in Pride Park Royale
992 ,Under Construction,Possession by Nov 2020,"28,184 ",2.79 Cr,"Andheri East, Mumbai",3 BHK Apartment in Pride Park Royale
958 ,Under Construction,Possession by Nov 2020,"28,184 ",2.7 Cr,"Andheri East, Mumbai",3 BHK Apartment in Pride Park Royale
761 ,Under Construction,Possession by Nov 2020,"25,000 ",1.9 Cr,"Andheri East, Mumbai",2 BHK Apartment in Pride Park Royale
1012 ,Under Construction,Possession by Nov 2020,"28,184 ",2.85 Cr,"Andheri East, Mumbai",3 BHK Apartment in Pride Park Royale
766 ,Under Construction,Possession by Nov 2020,"25,000 ",1.91 Cr,"Andheri East, Mumbai",2 BHK Apartment in Pride Park Royale
462 ,Under Construction,Possession by Nov 2022,"8,063 ",37.25 L,"Dombivali, Mumbai",1 BHK Apartment in Ashapura Asha Icon Live An Iconic Life
660 ,Under Construction,Possession by Nov 2022,"8,063 ",53.21 L,"Dombivali, Mumbai",2 BHK Apartment in Ashapura Asha Icon Live An Iconic Life
575 ,Under Construction,Possession by Nov 2022,"8,063 ",46.36 L,"Dombivali, Mumbai",2 BHK Apartment in Ashapura Asha Icon Live An Iconic Life
 , ,, ,  ,,
655 ,Under Construction,Possession by Nov 2027,"9,166 ",60.03 L,"Taloja, Mumbai",2 BHK Apartment in Cemcon Innovative Icon
642 ,Under Construction,Possession by Nov 2027,"9,166 ",58.84 L,"Taloja, Mumbai",2 BHK Apartment in Cemcon Innovative Icon
415 ,Under Construction,Possession by Nov 2027,"9,166 ",38.03 L,"Taloja, Mumbai",1 BHK Apartment in Cemcon Innovative Icon
445 ,Under Construction,Possession by Nov 2022,"6,966 ",30.99 L,"Virar, Mumbai",1 BHK Apartment in Sri Garden Avenue K
412 ,Under Construction,Possession by Mar 2022,"42,475 ",1.75 Cr,"Girgaon, Mumbai",1 BHK Apartment in Shree Vastudeep Dada Maharaj Heights
310 ,Under Construction,Possession by Feb 2021,"5,451 ",16.9 L,"Badlapur East, Mumbai",1 BHK Apartment in Shivalik Vedant Kalash
490 ,Under Construction,Possession by Dec 2022,"11,632 ",57 L,"Kalamboli, Mumbai",1 BHK Apartment in Proviso Builders Sai Proviso Sapphire
577 ,Ready to move,2 - 3 years old,"6,171 ",35.61 L,"Ambernath West, Mumbai",2 BHK Apartment in Wadhwa Daisy Gardens
625 ,Ready to move,2 - 3 years old,"5,931 ",37.06 L,"Ambernath West, Mumbai",2 BHK Apartment in Wadhwa Daisy Gardens
460 ,Ready to move,2 - 3 years old,"6,136 ",28.22 L,"Ambernath West, Mumbai",1 BHK Apartment in Wadhwa Daisy Gardens
