area,construction_status,per_sqr_ft,price,property_location,title,years
211 ,Under Construction,"9,597 ",20.25 L,"Taloja, Mumbai",1 BHK Apartment in Gami Gami Teesta,Possession by Jun 2022
307 ,Under Construction,"9,201 ",28.25 L,"Taloja, Mumbai",1 BHK Apartment in Gami Gami Teesta,Possession by Jun 2022
405 ,Under Construction,"9,135 ",37 L,"Taloja, Mumbai",2 BHK Apartment in Gami Gami Teesta,Possession by Jun 2022
211 ,Under Construction,"9,597 ",20.25 L,"Taloja, Mumbai",1 BHK Apartment in Gami Gami Teesta,Possession by Jun 2022
307 ,Under Construction,"9,201 ",28.25 L,"Taloja, Mumbai",1 BHK Apartment in Gami Gami Teesta,Possession by Jun 2022
405 ,Under Construction,"9,135 ",37 L,"Taloja, Mumbai",2 BHK Apartment in Gami Gami Teesta,Possession by Jun 2022
742 ,Under Construction,"25,000 ",1.85 Cr,"Andheri East, Mumbai",2 BHK Apartment in Pride Park Royale,Possession by Nov 2020
888 ,Under Construction,"28,184 ",2.5 Cr,"Andheri East, Mumbai",3 BHK Apartment in Pride Park Royale,Possession by Nov 2020
992 ,Under Construction,"28,184 ",2.79 Cr,"Andheri East, Mumbai",3 BHK Apartment in Pride Park Royale,Possession by Nov 2020
958 ,Under Construction,"28,184 ",2.7 Cr,"Andheri East, Mumbai",3 BHK Apartment in Pride Park Royale,Possession by Nov 2020
761 ,Under Construction,"25,000 ",1.9 Cr,"Andheri East, Mumbai",2 BHK Apartment in Pride Park Royale,Possession by Nov 2020
1012 ,Under Construction,"28,184 ",2.85 Cr,"Andheri East, Mumbai",3 BHK Apartment in Pride Park Royale,Possession by Nov 2020
766 ,Under Construction,"25,000 ",1.91 Cr,"Andheri East, Mumbai",2 BHK Apartment in Pride Park Royale,Possession by Nov 2020
462 ,Under Construction,"8,063 ",37.25 L,"Dombivali, Mumbai",1 BHK Apartment in Ashapura Asha Icon Live An Iconic Life,Possession by Nov 2022
660 ,Under Construction,"8,063 ",53.21 L,"Dombivali, Mumbai",2 BHK Apartment in Ashapura Asha Icon Live An Iconic Life,Possession by Nov 2022
575 ,Under Construction,"8,063 ",46.36 L,"Dombivali, Mumbai",2 BHK Apartment in Ashapura Asha Icon Live An Iconic Life,Possession by Nov 2022
 , , ,  ,,,
655 ,Under Construction,"9,166 ",60.03 L,"Taloja, Mumbai",2 BHK Apartment in Cemcon Innovative Icon,Possession by Nov 2027
642 ,Under Construction,"9,166 ",58.84 L,"Taloja, Mumbai",2 BHK Apartment in Cemcon Innovative Icon,Possession by Nov 2027
415 ,Under Construction,"9,166 ",38.03 L,"Taloja, Mumbai",1 BHK Apartment in Cemcon Innovative Icon,Possession by Nov 2027
445 ,Under Construction,"6,966 ",30.99 L,"Virar, Mumbai",1 BHK Apartment in Sri Garden Avenue K,Possession by Nov 2022
412 ,Under Construction,"42,475 ",1.75 Cr,"Girgaon, Mumbai",1 BHK Apartment in Shree Vastudeep Dada Maharaj Heights,Possession by Mar 2022
310 ,Under Construction,"5,451 ",16.9 L,"Badlapur East, Mumbai",1 BHK Apartment in Shivalik Vedant Kalash,Possession by Feb 2021
490 ,Under Construction,"11,632 ",57 L,"Kalamboli, Mumbai",1 BHK Apartment in Proviso Builders Sai Proviso Sapphire,Possession by Dec 2022
577 ,Ready to move,"6,171 ",35.61 L,"Ambernath West, Mumbai",2 BHK Apartment in Wadhwa Daisy Gardens,2 - 3 years old
625 ,Ready to move,"5,931 ",37.06 L,"Ambernath West, Mumbai",2 BHK Apartment in Wadhwa Daisy Gardens,2 - 3 years old
460 ,Ready to move,"6,136 ",28.22 L,"Ambernath West, Mumbai",1 BHK Apartment in Wadhwa Daisy Gardens,2 - 3 years old
548 ,Ready to move,"6,197 ",33.96 L,"Ambernath West, Mumbai",2 BHK Apartment in Wadhwa Daisy Gardens,2 - 3 years old
635 ,Ready to move,"5,929 ",37.65 L,"Ambernath West, Mumbai",2 BHK Apartment in Wadhwa Daisy Gardens,2 - 3 years old
489 ,Ready to move,"5,910 ",28.9 L,"Ambernath West, Mumbai",1 BHK Apartment in Wadhwa Daisy Gardens,2 - 3 years old
632 ,Ready to move,"5,927 ",37.45 L,"Ambernath West, Mumbai",2 BHK Apartment in Wadhwa Daisy Gardens,2 - 3 years old
