area,construction_status,per_sqr_ft,price,property_location,title,years
800 ,Ready to move,"10,375 ",83 L,"Mira Road East, Mumbai",2 BHK Apartment in Man Opus,0 - 1 year old
756 ,Under Construction,"9,259 ",70 L,"Mira Road East, Mumbai",1 BHK Apartment in Raj Heritage 1,Possession by Dec 2022
897 ,Ready to move,"11,482 ",1.03 Cr,"Mira Road East, Mumbai",2 BHK Apartment in Man Opus,0 - 1 year old
470 ,Ready to move,"5,319 ",25 L,"Nala Sopara, Mumbai",1 BHK Apartment in SB Sandeep Heights,2 - 3 years old
 , , ,  ,,,
585 ,Ready to move,"4,273 ",25 L,"Nala Sopara, Mumbai",1 BHK Apartment in SB Sandeep Heights,2 - 3 years old
575 ,Ready to move,"3,478 ",20 L,"Nala Sopara, Mumbai",1 BHK Apartment in Govinda Park,1 - 2 years old
315 ,Ready to move,"6,349 ",20 L,"Nala Sopara, Mumbai",1 BHK Apartment in Poonam Pallazo,4 - 5 years old
725 ,Ready to move,"3,448 ",25 L,"Nala Sopara, Mumbai",1 BHK Apartment in Deep Heights,5 - 6 years old
580 ,Ready to move,"4,310 ",25 L,"Nala Sopara, Mumbai",1 BHK Apartment in Deep Heights,5 - 6 years old
960 ,Ready to move,"3,333 ",32 L,"Nala Sopara, Mumbai",2 BHK Apartment in Deep Heights,5 - 6 years old
603 ,Ready to move,"3,980 ",24 L,"Nala Sopara, Mumbai",1 BHK Apartment in Sai Om Sai Heights,4 - 5 years old
800 ,Ready to move,"4,000 ",32 L,"Nala Sopara, Mumbai",2 BHK Apartment in Deep Heights,5 - 6 years old
580 ,Ready to move,"4,827 ",28 L,"Nala Sopara, Mumbai",1 BHK Apartment in Dharti Mira Dharti Heights,3 - 4 years old
365 ,Ready to move,"6,027 ",22 L,"Nala Sopara, Mumbai",1 BHK Apartment in Dharti Mira Dharti Heights,3 - 4 years old
590 ,Ready to move,"4,745 ",28 L,"Mira Road East, Mumbai",1 BHK Apartment in Shree Sai Shri Sai Enclave,5 - 6 years old
560 ,Ready to move,"4,107 ",23 L,"Mira Road East, Mumbai",1 BHK Apartment in Shree Sai Shri Sai Enclave,5 - 6 years old
285 ,Ready to move,"5,964 ",17 L,"Mira Road East, Mumbai",1 RK Studio Apartment in Shree Sai Shri Sai Enclave,5 - 6 years old
630 ,Under Construction,"7,777 ",49 L,"Anjurdive, Mumbai",1 BHK Apartment in Lodha Upper Thane,Possession by Feb 2021
670 ,Under Construction,"7,462 ",50 L,"Anjurdive, Mumbai",1 BHK Apartment in Lodha Upper Thane,Possession by Feb 2021
690 ,Under Construction,"7,826 ",54 L,"Anjurdive, Mumbai",1 BHK Apartment in Lodha Upper Thane,Possession by Feb 2021
750 ,Under Construction,"8,133 ",61 L,"Anjurdive, Mumbai",2 BHK Apartment in Lodha Upper Thane,Possession by Feb 2021
890 ,Under Construction,"9,101 ",81 L,"Anjurdive, Mumbai",2 BHK Apartment in Lodha Upper Thane,Possession by Feb 2021
710 ,Ready to move,"10,422 ",74 L,"Mira Road East, Mumbai",1 BHK Apartment in Man Opus,0 - 1 year old
750 ,Ready to move,"11,066 ",83 L,"Mira Road East, Mumbai",1 BHK Apartment in Man Opus,0 - 1 year old
 , , ,  ,,,
690 ,Ready to move,"10,724 ",74 L,"Mira Road East, Mumbai",1 BHK Apartment in Man Opus,0 - 1 year old
756 ,Under Construction,"9,523 ",72 L,"Mira Road East, Mumbai",1 BHK Apartment in Raj Heritage 1,Possession by Dec 2022
783 ,Under Construction,"9,195 ",72 L,"Mira Road East, Mumbai",1 BHK Apartment in Raj Heritage 1,Possession by Dec 2022
1107 ,Under Construction,"9,304 ",1.03 Cr,"Mira Road East, Mumbai",2 BHK Apartment in Raj Heritage 1,Possession by Dec 2022
675 ,Under Construction,"8,740 ",59 L,"Mira Road East, Mumbai",1 BHK Apartment in Raj Akshay,Possession by Dec 2024
711 ,Under Construction,"8,720 ",62 L,"Mira Road East, Mumbai",1 BHK Apartment in Raj Akshay,Possession by Dec 2024
756 ,Under Construction,"8,730 ",66 L,"Mira Road East, Mumbai",1 BHK Apartment in Raj Akshay,Possession by Dec 2024
1071 ,Under Construction,"8,683 ",93 L,"Mira Road East, Mumbai",2 BHK Apartment in Raj Akshay,Possession by Dec 2024
1062 ,Under Construction,"8,662 ",92 L,"Mira Road East, Mumbai",2 BHK Apartment in Raj Akshay,Possession by Dec 2024
1150 ,Ready to move,"13,043 ",1.5 Cr,"Mira Road East, Mumbai",3 BHK Apartment in Ashish Samriddhi,0 - 1 year old
750 ,Ready to move,"14,666 ",1.1 Cr,"Mira Road East, Mumbai",2 BHK Apartment in Ashish Samriddhi,0 - 1 year old
757 ,Under Construction,"10,303 ",78 L,"Mira Road East, Mumbai",2 BHK Apartment in Adeshwar Janki Regency,Possession by Nov 2020
575 ,Ready to move,"8,695 ",50 L,"Mira Road East, Mumbai",1 BHK Apartment in Periwinkle Periwinkle CHS,11 - 12 years old
560 ,Ready to move,"10,000 ",56 L,"Mira Road East, Mumbai",1 BHK Apartment in Sanghvi Ecocity,4 - 5 years old
550 ,Ready to move,"9,181 ",50.5 L,"Mira Road East, Mumbai",1 BHK Apartment in Vasudev Arcade CHS,12 - 13 years old
480 ,Ready to move,"10,416 ",50 L,"Mira Road East, Mumbai",1 BHK Apartment in Ravi Gaurav Sankalp Phase I,15 - 16 years old
2300 ,Ready to move,"13,043 ",3 Cr,"Belapur, Mumbai",4 BHK Apartment in Priyanka Hill View Residency,4 - 5 years old
650 ,Ready to move,"4,076 ",26.5 L,"Virar West, Mumbai",1 BHK Apartment,2 Bathrooms
660 ,Ready to move,"4,545 ",30 L,"Virar West, Mumbai",1 BHK Apartment,2 Bathrooms
660 ,Ready to move,"4,469 ",29.5 L,"Virar West, Mumbai",1 BHK Apartment,2 Bathrooms
 , , ,  ,,,
660 ,Ready to move,"4,469 ",29.5 L,"Virar, Mumbai",1 BHK Apartment in Ekta Brooklyn Park Phase III,0 - 1 year old
805 ,Under Construction,"11,235 ",90.44 L,"Anjurdive, Mumbai",3 BHK Apartment in Lodha Upper Thane,Possession by Feb 2021
444 ,Under Construction,"11,796 ",52.37 L,"Anjurdive, Mumbai",1 BHK Apartment in Lodha Upper Thane,Possession by Feb 2021
672 ,Under Construction,"18,898 ",1.27 Cr,"Thane West, Mumbai",2 BHK Apartment in Kalpataru Paramount,Possession by Feb 2022
527 ,Under Construction,"19,354 ",1.02 Cr,"Thane West, Mumbai",2 BHK Apartment in Kalpataru Paramount,Possession by Feb 2022
711 ,Under Construction,"19,409 ",1.38 Cr,"Thane West, Mumbai",2 BHK Apartment in Kalpataru Paramount,Possession by Feb 2022
595 ,Under Construction,"12,766 ",75.95 L,"Anjurdive, Mumbai",2 BHK Apartment in Lodha Upper Thane,Possession by Feb 2021
558 ,Under Construction,"12,563 ",70.1 L,"Anjurdive, Mumbai",2 BHK Apartment in Lodha Upper Thane,Possession by Feb 2021
986 ,Under Construction,"12,340 ",1.21 Cr,"Anjurdive, Mumbai",3 BHK Apartment in Lodha Upper Thane,Possession by Feb 2021
489 ,Under Construction,"12,404 ",60.65 L,"Anjurdive, Mumbai",2 BHK Apartment in Lodha Upper Thane,Possession by Feb 2021
417 ,Under Construction,"12,085 ",50.39 L,"Anjurdive, Mumbai",1 BHK Apartment in Lodha Upper Thane,Possession by Feb 2021
1842 ,Under Construction,"28,128 ",5.18 Cr,"Thane West, Mumbai",4 BHK Apartment in Lodha Sterling Tower G,Possession by Aug 2024
977 ,Under Construction,"26,758 ",2.61 Cr,"Thane West, Mumbai",3 BHK Apartment in Lodha Sterling Tower G,Possession by Aug 2024
1002 ,Under Construction,"26,757 ",2.68 Cr,"Thane West, Mumbai",3 BHK Apartment in Lodha Sterling Tower G,Possession by Aug 2024
1026 ,Under Construction,"26,757 ",2.74 Cr,"Thane West, Mumbai",3 BHK Apartment in Lodha Sterling Tower G,Possession by Aug 2024
1020 ,Under Construction,"26,782 ",2.72 Cr,"Thane West, Mumbai",3 BHK Apartment in Lodha Sterling Tower G,Possession by Aug 2024
1020 ,Under Construction,"26,782 ",2.72 Cr,"Thane West, Mumbai",3 BHK Apartment in Lodha Sterling Tower G,Possession by Aug 2024
811 ,Under Construction,"26,543 ",2.14 Cr,"Thane West, Mumbai",2 BHK Apartment in Lodha Sterling Tower G,Possession by Aug 2024
897 ,Under Construction,"26,785 ",2.39 Cr,"Thane West, Mumbai",3 BHK Apartment in Lodha Sterling Tower G,Possession by Aug 2024
1305 ,Under Construction,"22,222 ",2.89 Cr,"Thane West, Mumbai",3 BHK Apartment in Lodha Sterling Tower G,Possession by Aug 2024
 , , ,  ,,,
1831 ,Under Construction,"28,142 ",5.14 Cr,"Thane West, Mumbai",4 BHK Apartment in Lodha Sterling Tower G,Possession by Aug 2024
782 ,Under Construction,"24,473 ",1.91 Cr,"Thane West, Mumbai",2 BHK Apartment in Lodha Sterling Tower G,Possession by Aug 2024
769 ,Under Construction,"24,503 ",1.88 Cr,"Thane West, Mumbai",2 BHK Apartment in Lodha Sterling Tower G,Possession by Aug 2024
756 ,Under Construction,"24,503 ",1.84 Cr,"Thane West, Mumbai",2 BHK Apartment in Lodha Sterling Tower G,Possession by Aug 2024
781 ,Under Construction,"24,473 ",1.91 Cr,"Thane West, Mumbai",2 BHK Apartment in Lodha Sterling Tower G,Possession by Aug 2024
1089 ,Ready to move,"28,282 ",3.08 Cr,"Thane West, Mumbai",3 BHK Apartment in NARANG REALTY And WADHWA GROUP Courtyard,0 - 1 year old
706 ,Ready to move,"24,787 ",1.75 Cr,"Thane West, Mumbai",2 BHK Apartment in NARANG REALTY And WADHWA GROUP Courtyard,0 - 1 year old
762 ,Ready to move,"25,590 ",1.95 Cr,"Thane West, Mumbai",2 BHK Apartment in NARANG REALTY And WADHWA GROUP Courtyard,0 - 1 year old
936 ,Under Construction,"10,105 ",94.59 L,"Thane West, Mumbai",2 BHK Apartment in Lodha Codename Crown Jewel,Possession by Dec 2022
756 ,Under Construction,"9,654 ",72.99 L,"Thane West, Mumbai",1 BHK Apartment in Lodha Codename Crown Jewel,Possession by Dec 2022
1250 ,Ready to move,"9,600 ",1.2 Cr,"Seawoods, Mumbai",2 BHK Apartment,2 Bathrooms
650 ,Ready to move,"8,769 ",57 L,"kasaradavali thane west, Mumbai",1 BHK Apartment in Reputed Mahalaxmi Tower,0 - 1 year old
900 ,Ready to move,"8,000 ",72 L,"kasaradavali thane west, Mumbai",2 BHK Apartment in Reputed Iris,0 - 1 year old
1100 ,Ready to move,"10,727 ",1.18 Cr,"Kharghar, Mumbai",3 BHK Apartment in Nisarg Hyde Park,6 - 7 years old
1000 ,Under Construction,"9,500 ",95 L,"Kharghar, Mumbai",2 BHK Apartment in Mokal Pushp Pinnacle,Possession by Apr 2023
552 ,Under Construction,"10,869 ",60 L,"Kharghar, Mumbai",1 BHK Apartment in Paradise Sai Icon,Possession by Nov 2023
1600 ,Ready to move,"15,000 ",2.4 Cr,"Sanpada, Mumbai",3 BHK Apartment,3 Bathrooms
1380 ,Ready to move,"21,739 ",3 Cr,"Sanpada, Mumbai",2 BHK Apartment,2 Bathrooms
1100 ,Ready to move,"6,818 ",75 L,"Ulwe, Mumbai",2 BHK Apartment,2 Bathrooms
510 ,Under Construction,"7,254 ",37 L,"Dombivali, Mumbai",1 BHK Apartment,Possession by Feb 2024
 , , ,  ,,,
550 ,Under Construction,"7,909 ",43.5 L,"Dombivali, Mumbai",1 BHK Apartment in Runwal My City Phase II Cluster 4,Possession by Nov 2027
521 ,Under Construction,"6,909 ",36 L,"Dombivali, Mumbai",1 BHK Apartment,Possession by Feb 2024
580 ,Ready to move,396 ,2.3 L,"Bhiwandi, Mumbai",1 BHK Apartment in Lucky Atharva Enclave,2 - 3 years old
1020 ,Ready to move,"7,843 ",80 L,"Ulwe, Mumbai",2 BHK Apartment,1 Bathrooms
1175 ,Ready to move,"6,638 ",78 L,"Dronagiri, Mumbai",2 BHK Apartment,2 Bathrooms
1690 ,Ready to move,"8,934 ",1.51 Cr,"Ulwe, Mumbai",3 BHK Apartment,3 Bathrooms
2100 ,Ready to move,"9,047 ",1.9 Cr,"Seawoods, Mumbai",3 BHK Apartment,3 Bathrooms
1690 ,Ready to move,"9,940 ",1.68 Cr,"Ulwe, Mumbai",3 BHK Apartment,3 Bathrooms
1215 ,Ready to move,"9,218 ",1.12 Cr,"Ulwe, Mumbai",2 BHK Apartment,2 Bathrooms
1540 ,Ready to move,"6,428 ",99 L,"Dronagiri, Mumbai",3 BHK Apartment,1 Bathrooms
3450 ,Ready to move,"10,869 ",3.75 Cr,"Ulwe, Mumbai",4 BHK Apartment,3 Bathrooms
1800 ,Ready to move,"10,277 ",1.85 Cr,"Belapur, Mumbai",3 BHK Apartment,3 Bathrooms
1760 ,Ready to move,"12,500 ",2.2 Cr,"Ulwe, Mumbai",3 BHK Apartment,3 Bathrooms
1760 ,Ready to move,"12,500 ",2.2 Cr,"Ulwe, Mumbai",3 BHK Apartment,3 Bathrooms
1550 ,Ready to move,"7,741 ",1.2 Cr,"Ulwe, Mumbai",3 BHK Apartment,3 Bathrooms
1450 ,Ready to move,"17,931 ",2.6 Cr,"Belapur, Mumbai",2 BHK Apartment,2 Bathrooms
1000 ,Ready to move,"13,000 ",1.3 Cr,"Belapur, Mumbai",2 BHK Apartment,2 Bathrooms
1000 ,Under Construction,"4,450 ",44.5 L,"Dronagiri, Mumbai",2 BHK Apartment,2 Bathrooms
1540 ,Ready to move,"6,428 ",99 L,"Dronagiri, Mumbai",3 BHK Apartment,1 Bathrooms
1660 ,Ready to move,"9,939 ",1.65 Cr,"Ulwe, Mumbai",3 BHK Apartment,3 Bathrooms
 , , ,  ,,,
1660 ,Ready to move,"9,939 ",1.65 Cr,"Ulwe, Mumbai",3 BHK Apartment,2 Bathrooms
2950 ,Ready to move,"11,355 ",3.35 Cr,"Ulwe, Mumbai",4 BHK Apartment,3 Bathrooms
845 ,Under Construction,"5,502 ",46.5 L,"Dronagiri, Mumbai",1 BHK Apartment,1 Bathrooms
725 ,Under Construction,"4,965 ",36 L,"Dronagiri, Mumbai",1 BHK Apartment,1 Bathrooms
2110 ,Ready to move,"14,218 ",3 Cr,"Seawoods, Mumbai",3 BHK Apartment,3 Bathrooms
1750 ,Ready to move,"8,571 ",1.5 Cr,"Ulwe, Mumbai",2 BHK Apartment,2 Bathrooms
735 ,Under Construction,"3,809 ",28 L,"Dronagiri, Mumbai",1 BHK Apartment,1 Bathrooms
900 ,Ready to move,"16,111 ",1.45 Cr,"Belapur, Mumbai",2 BHK Apartment,2 Bathrooms
615 ,Under Construction,"4,796 ",29.5 L,"Dronagiri, Mumbai",1 RK Studio Apartment,1 Bathrooms
2400 ,Ready to move,"10,000 ",2.4 Cr,"Sanpada, Mumbai",3 BHK Apartment,3 Bathrooms
615 ,Under Construction,"4,796 ",29.5 L,"Dronagiri, Mumbai",1 BHK Apartment,1 Bathrooms
1000 ,Under Construction,"4,450 ",44.5 L,"Dronagiri, Mumbai",2 BHK Apartment,2 Bathrooms
975 ,Ready to move,"8,307 ",81 L,"Ulwe, Mumbai",2 BHK Apartment,2 Bathrooms
1140 ,Ready to move,"8,771 ",1 Cr,"Kharghar, Mumbai",2 BHK Apartment,2 Bathrooms
650 ,Ready to move,"38,461 ",2.5 Cr,"Juhu, Mumbai",1 BHK Apartment,1 Bathrooms
650 ,Ready to move,"4,292 ",27.9 L,"Virar, Mumbai",1 BHK Apartment in Unique Homes,0 - 1 year old
660 ,Ready to move,"4,545 ",30 L,"Virar, Mumbai",1 BHK Apartment in Sunshine Solaris,3 - 4 years old
655 ,Ready to move,"4,580 ",30 L,"Virar, Mumbai",1 BHK Apartment in Maitry Heights,0 - 1 year old
650 ,Ready to move,"4,461 ",29 L,"Virar, Mumbai",1 BHK Apartment in Ekta Brooklyn Park Phase III,0 - 1 year old
650 ,Ready to move,"4,446 ",28.9 L,"Virar, Mumbai",1 BHK Apartment in Ekta Brooklyn Park Phase III,0 - 1 year old
 , , ,  ,,,
1442 ,Under Construction,"5,013 ",72.3 L,"Dombivali East, Mumbai",3 BHK Apartment,1 Bathrooms
910 ,Under Construction,"5,406 ",49.2 L,"Dombivali East, Mumbai",2 BHK Apartment,1 Bathrooms
910 ,Under Construction,"6,025 ",54.83 L,"Dombivali East, Mumbai",1 BHK Apartment,1 Bathrooms
910 ,Under Construction,"5,142 ",46.79 L,"Dombivali East, Mumbai",2 BHK Apartment,1 Bathrooms
992 ,Under Construction,"5,866 ",58.2 L,"Dombivali East, Mumbai",2 BHK Apartment,1 Bathrooms
992 ,Under Construction,"6,774 ",67.2 L,"Dombivali East, Mumbai",2 BHK Apartment,1 Bathrooms
1011 ,Under Construction,"6,056 ",61.23 L,"Dombivali East, Mumbai",2 BHK Apartment,1 Bathrooms
990 ,Under Construction,"5,818 ",57.6 L,"Dombivali East, Mumbai",2 BHK Apartment,1 Bathrooms
1449 ,Under Construction,"5,452 ",79 L,"Dombivali East, Mumbai",3 BHK Apartment,1 Bathrooms
590 ,Ready to move,"4,067 ",24 L,"Virar West, Mumbai",1 BHK Apartment in Reputed Orange Heights Phase 1,0 - 1 year old
975 ,Under Construction,"23,692 ",2.31 Cr,"Mulund West, Mumbai",3 BHK Apartment in Wadhwa Atmosphere O2,Possession by Nov 2025
680 ,Under Construction,"21,617 ",1.47 Cr,"Mulund West, Mumbai",2 BHK Apartment in Wadhwa Atmosphere O2,Possession by Nov 2025
628 ,Under Construction,"22,330 ",1.4 Cr,"Mulund West, Mumbai",2 BHK Apartment in Wadhwa Atmosphere O2,Possession by Nov 2025
996 ,Under Construction,"23,692 ",2.35 Cr,"Mulund West, Mumbai",3 BHK Apartment in Wadhwa Atmosphere O2,Possession by Nov 2025
618 ,Under Construction,"22,330 ",1.38 Cr,"Mulund West, Mumbai",2 BHK Apartment in Wadhwa Atmosphere O2,Possession by Nov 2025
753 ,Under Construction,"21,779 ",1.64 Cr,"Mulund West, Mumbai",2 BHK Apartment in Wadhwa Atmosphere O2,Possession by Nov 2025
1400 ,Ready to move,"3,535 ",49.5 L,"Bhiwandi, Mumbai",3 BHK Apartment,2 Bathrooms
679 ,Under Construction,"7,277 ",49.41 L,"Dombivali, Mumbai",2 BHK Apartment in Runwal Gardens Phase I,Possession by May 2023
442 ,Under Construction,"10,518 ",46.38 L,"Dombivali, Mumbai",1 BHK Apartment in Runwal Gardens Phase I,Possession by May 2023
904 ,Under Construction,"9,708 ",87.66 L,"Dombivali, Mumbai",3 BHK Apartment in Runwal Gardens Phase I,Possession by May 2023
 , , ,  ,,,
495 ,Under Construction,"10,496 ",51.95 L,"Dombivali, Mumbai",1 BHK Apartment in Runwal Gardens Phase I,Possession by May 2023
760 ,Under Construction,"10,046 ",76.25 L,"Dombivali, Mumbai",3 BHK Apartment in Runwal My City,Possession by Nov 2020
524 ,Under Construction,"10,362 ",54.29 L,"Dombivali, Mumbai",2 BHK Apartment in Runwal My City,Possession by Nov 2020
406 ,Under Construction,"10,529 ",42.74 L,"Dombivali, Mumbai",1 BHK Apartment in Runwal My City,Possession by Nov 2020
576 ,Under Construction,"10,361 ",59.68 L,"Dombivali, Mumbai",2 BHK Apartment in Runwal My City,Possession by Nov 2020
353 ,Under Construction,"10,511 ",36.99 L,"Dombivali, Mumbai",1 BHK Apartment in Runwal Gardens Phase I,Possession by May 2023
1200 ,Ready to move,"10,000 ",1.2 Cr,"Ulwe, Mumbai",2 BHK Apartment in Priyanka Unite,0 - 1 year old
456 ,Ready to move,"12,280 ",56 L,"Ulwe, Mumbai",1 BHK Apartment in Priyanka Unite,0 - 1 year old
513 ,Under Construction,"17,543 ",90 L,"Ghansoli, Mumbai",2 BHK Apartment in Aurum Q Residences R1,Possession by Nov 2020
456 ,Ready to move,"12,280 ",56 L,"Ulwe, Mumbai",1 BHK Apartment in Priyanka Unite,0 - 1 year old
513 ,Under Construction,"17,543 ",90 L,"Ghansoli, Mumbai",2 BHK Apartment in Aurum Q Residences R1,Possession by Nov 2020
1200 ,Ready to move,"12,083 ",1.45 Cr,"Kharghar, Mumbai",2 BHK Apartment in Concrete Sai Saakshaat,6 - 7 years old
1050 ,Ready to move,"11,904 ",1.25 Cr,"Kharghar, Mumbai",2 BHK Apartment in Concrete Sai Saakshaat,6 - 7 years old
1050 ,Ready to move,"11,904 ",1.25 Cr,"Kharghar, Mumbai",2 BHK Apartment in Concrete Sai Saakshaat,6 - 7 years old
1050 ,Ready to move,"11,904 ",1.25 Cr,"Kharghar, Mumbai",2 BHK Apartment in Concrete Sai Saakshaat,6 - 7 years old
1200 ,Ready to move,"12,083 ",1.45 Cr,"Kharghar, Mumbai",2 BHK Apartment in Concrete Sai Saakshaat,6 - 7 years old
1050 ,Ready to move,"11,904 ",1.25 Cr,"Kharghar, Mumbai",2 BHK Apartment in Concrete Sai Saakshaat,6 - 7 years old
1150 ,Ready to move,"8,608 ",99 L,"Ulwe, Mumbai",3 BHK Apartment in Priyanka Unite,0 - 1 year old
655 ,Ready to move,"4,580 ",30 L,"Virar, Mumbai",1 BHK Apartment in Maitry Heights,0 - 1 year old
650 ,Ready to move,"4,461 ",29 L,"Virar, Mumbai",1 BHK Apartment in Ekta Brooklyn Park Phase III,0 - 1 year old
 , , ,  ,,,
1380 ,Under Construction,"15,290 ",2.11 Cr,"Bhayandar West, Mumbai",2 BHK Villa in Ekveera Shimmer Ocean Pearl,Possession by Dec 2023
860 ,Under Construction,"7,709 ",66.3 L,"Thane West, Mumbai",1 BHK Apartment,2 Bathrooms
670 ,Ready to move,"12,835 ",86 L,"Kurla, Mumbai",1 BHK Apartment in HDIL Premier Residences,6 - 7 years old
640 ,Ready to move,"7,187 ",46 L,"Kalamboli, Mumbai",1 BHK Apartment in Reputed Ruby Galaxy,0 - 1 year old
1085 ,Ready to move,"7,557 ",82 L,"Kalamboli, Mumbai",2 BHK Apartment in Reputed The Spring 2,0 - 1 year old
852 ,Ready to move,"9,507 ",81 L,"Panvel, Mumbai",2 BHK Apartment in Vishesh Balaji Symphony,0 - 1 year old
545 ,Ready to move,"3,577 ",19.5 L,"Bhiwandi, Mumbai",1 BHK Apartment,1 Bathrooms
1600 ,Ready to move,"39,062 ",6.25 Cr,"Juhu, Mumbai",3 BHK Apartment,3 Bathrooms
1650 ,Ready to move,"9,696 ",1.6 Cr,"Ulwe, Mumbai",3 BHK Apartment,2 Bathrooms
1600 ,Ready to move,"8,250 ",1.32 Cr,"Ulwe, Mumbai",3 BHK Apartment,2 Bathrooms
1650 ,Ready to move,"8,181 ",1.35 Cr,"Ulwe, Mumbai",3 BHK Apartment,2 Bathrooms
985 ,Ready to move,"7,614 ",75 L,"Ulwe, Mumbai",2 BHK Apartment,2 Bathrooms
1800 ,Ready to move,"13,055 ",2.35 Cr,"Belapur, Mumbai",3 BHK Apartment in Sonal Gopal Krishna,0 - 1 year old
900 ,Ready to move,"17,222 ",1.55 Cr,"Belapur, Mumbai",2 BHK Apartment in Sonal Gopal Krishna,0 - 1 year old
1656 ,Ready to move,"9,782 ",1.62 Cr,"Ulwe, Mumbai",3 BHK Apartment,3 Bathrooms
1650 ,Ready to move,"8,242 ",1.36 Cr,"Ulwe, Mumbai",3 BHK Apartment,2 Bathrooms
3580 ,Ready to move,"18,156 ",6.5 Cr,"Belapur, Mumbai",4 BHK Apartment,3 Bathrooms
710 ,Ready to move,"7,042 ",50 L,"Mira Road East, Mumbai",1 BHK Apartment in Venkatesh Jyoti Breeze,2 Bathrooms
545 ,Ready to move,"4,770 ",26 L,"Nala Sopara, Mumbai",1 BHK Apartment in MAAD Heights No 1 And 2,1 Bathrooms
693 ,Ready to move,"10,101 ",70 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 3 Estella,2 Bathrooms
 , , ,  ,,,
745 ,Ready to move,"10,738 ",80 L,"Mira Road East, Mumbai",1 BHK Apartment in JP North Phase 3 Estella,2 Bathrooms
995 ,Ready to move,"6,532 ",65 L,"Mira Road East, Mumbai",2 BHK Apartment in Venkatesh Jyoti Breeze,2 Bathrooms
578 ,Under Construction,"8,650 ",50 L,"Vasai, Mumbai",1 BHK Apartment in Reputed Janki Regency,2 Bathrooms
518 ,Under Construction,"15,057 ",78 L,"Mira Road East, Mumbai",1 BHK Apartment in Rassaz Greens,1 Bathrooms
583 ,Under Construction,"8,747 ",51 L,"Vasai, Mumbai",1 BHK Apartment in Reputed Janki Regency,2 Bathrooms
813 ,Under Construction,"12,300 ",1 Cr,"Mira Road East, Mumbai",2 BHK Apartment in Rassaz Greens,2 Bathrooms
720 ,Ready to move,"9,305 ",67 L,"Mira Road East, Mumbai",2 BHK Apartment in JK IRIS,2 Bathrooms
950 ,Ready to move,"8,947 ",85 L,"Mira Road East, Mumbai",2 BHK Apartment in JK IRIS,2 Bathrooms
590 ,Ready to move,"9,491 ",56 L,"Mira Road East, Mumbai",1 BHK Apartment in Sahakar Premier,2 Bathrooms
610 ,Ready to move,"8,852 ",54 L,"Mira Road East, Mumbai",1 BHK Apartment in Happy Home Residency CD,0 - 1 year old
740 ,Ready to move,"8,108 ",60 L,"Mira Road East, Mumbai",1 BHK Apartment in Unique Estate,2 Bathrooms
1760 ,Ready to move,"11,363 ",2 Cr,"Ulwe, Mumbai",3 BHK Apartment,3 Bathrooms
1220 ,Ready to move,"12,704 ",1.55 Cr,"Belapur, Mumbai",2 BHK Apartment in Sonal Gopal Krishna,0 - 1 year old
1685 ,Ready to move,"10,089 ",1.7 Cr,"Ulwe, Mumbai",3 BHK Apartment,2 Bathrooms
1050 ,Ready to move,"7,428 ",78 L,"Ulwe, Mumbai",2 BHK Apartment,2 Bathrooms
1650 ,Ready to move,"19,696 ",3.25 Cr,"Seawoods, Mumbai",3 BHK Apartment,3 Bathrooms
740 ,Ready to move,"8,108 ",60 L,"Mira Road East, Mumbai",1 BHK Apartment in Unique Estate,2 Bathrooms
538 ,Under Construction,"16,728 ",90 L,"Thane West, Mumbai",2 BHK Apartment in Kalpataru Parkcity,Possession by May 2026
808 ,Under Construction,"16,831 ",1.36 Cr,"Thane West, Mumbai",2 BHK Apartment in Kalpataru Parkcity,Possession by May 2026
1686 ,Under Construction,"21,352 ",3.6 Cr,"Thane West, Mumbai",4 BHK Apartment in Kalpataru Parkcity,Possession by May 2026
 , , ,  ,,,
598 ,Under Construction,"16,555 ",99 L,"Thane West, Mumbai",2 BHK Apartment in Kalpataru Parkcity,Possession by May 2026
991 ,Under Construction,"17,053 ",1.69 Cr,"Thane West, Mumbai",3 BHK Apartment in Kalpataru Parkcity,Possession by May 2026
663 ,Under Construction,"17,194 ",1.14 Cr,"Thane West, Mumbai",2 BHK Apartment in Kalpataru Parkcity,Possession by May 2026
761 ,Under Construction,"16,951 ",1.29 Cr,"Thane West, Mumbai",2 BHK Apartment in Kalpataru Parkcity,Possession by May 2026
530 ,Under Construction,"16,037 ",85 L,"Thane West, Mumbai",2 BHK Apartment in Kalpataru Parkcity,Possession by May 2026
1039 ,Under Construction,"17,613 ",1.83 Cr,"Thane West, Mumbai",3 BHK Apartment in Kalpataru Parkcity,Possession by May 2026
632 ,Under Construction,"17,088 ",1.08 Cr,"Thane West, Mumbai",2 BHK Apartment in Kalpataru Parkcity,Possession by May 2026
1074 ,Under Construction,"17,504 ",1.88 Cr,"Thane West, Mumbai",3 BHK Apartment in Kalpataru Parkcity,Possession by May 2026
920 ,Under Construction,"17,065 ",1.57 Cr,"Thane West, Mumbai",3 BHK Apartment in Kalpataru Parkcity,Possession by May 2026
1150 ,Under Construction,"16,956 ",1.95 Cr,"Thane West, Mumbai",3 BHK Apartment in Kalpataru Parkcity,Possession by May 2026
450 ,Under Construction,"16,444 ",74 L,"Thane West, Mumbai",1 BHK Apartment in Kalpataru Parkcity,Possession by May 2026
